canonical_song_id,canonical_title,canonical_artist,canonical_entry_count,alias_song_title,alias_artist,alias_entry_count,week_count,first_chart_date,last_chart_date
632,Didn't Mean to Turn You On (Above The Rim),2nd II None,48,Didn't Mean to Turn You On (Above The Rim),2nd II None,43,43,2013-10-29,2019-09-10
632,Didn't Mean to Turn You On (Above The Rim),2nd II None,48,Didn't Mean To Turn You On (Above the Rim),2nd II None,3,3,2019-03-12,2019-03-26
632,Didn't Mean to Turn You On (Above The Rim),2nd II None,48,Didn't Mean to Turn You On (Above the Rim),2nd II None,1,1,2019-07-02,2019-07-02
632,Didn't Mean to Turn You On (Above The Rim),2nd II None,48,Didn't Mean to Turn You On Above The Rim),2nd II None,1,1,2016-07-26,2016-07-26
1339,"I'm Bout It, Bout It",TRU; Master P; Mia X,40,"I'm Bout It, Bout It",TRU; Master P; Mia X,28,28,2024-07-30,2025-05-13
1339,"I'm Bout It, Bout It",TRU; Master P; Mia X,40,"I'm Bout It, Bout It",Tru; Master P; Mia X,10,10,2025-02-11,2025-04-29
1339,"I'm Bout It, Bout It",TRU; Master P; Mia X,40,"I'm Bout It, Bout It","TRU, Master P, Mia X",1,1,2024-10-29,2024-10-29
1339,"I'm Bout It, Bout It",TRU; Master P; Mia X,40,"I'm Bout It, Bout It","TRU, Master P; Mia X",1,1,2025-05-06,2025-05-06
90,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,30,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,15,15,2020-12-22,2021-04-06
90,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,30,"Ain't No Fun - From ""Original Gangstas""",Dino Conner feat. Teddy,11,11,2011-10-25,2026-03-31
90,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,30,"Ain't No Fun - from ""Original Gangstas""",Dino Conner feat. Teddy,2,2,2021-01-12,2023-04-04
90,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,30,Ain't No Fun From Original Gangstas,Dino Conner feat. Teddy,2,2,2020-06-09,2020-06-16
2235,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,20,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,12,12,2020-06-09,2020-09-15
2235,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,20,"Ride or Die - From ""Queen & Slim: The Soundtrack""",Megan Thee Stallion feat. Vickeelo,6,6,2020-04-28,2020-06-02
2235,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,20,Ride or Die - From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,1,1,2020-07-28,2020-07-28
2235,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,20,"Ride or Die From ""Queen & Slim: The Soundtrack""",Megan Thee Stallion feat. Vickeelo,1,1,2020-08-18,2020-08-18
2821,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,4,"Theme of Sagat & Ryu - From ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,1,1,2023-09-19,2023-09-19
2821,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,4,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,1,1,2024-03-12,2024-03-12
2821,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,4,Theme of Sagat & Ryu From Street Fighter Alpha 2,Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,1,1,2021-05-04,2021-05-04
2821,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,4,Theme of Sagat & Ryu from Street Fighter Alpha 2,Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,1,1,2021-04-06,2021-04-06
1213,I Don't Want to Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",653,I Don't Want to Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",598,598,2003-03-18,2020-10-11
1213,I Don't Want to Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",653,I Don't Want To Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",54,54,2004-12-14,2006-07-18
1213,I Don't Want to Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",653,I Don't Want to Do Anything,Mary J. Blige feat. Cedric K-Ci Hailey,1,1,2010-10-05,2010-10-05
527,Come & Talk To Me,Jodeci,103,Come & Talk To Me,Jodeci,80,80,2004-03-02,2020-10-11
527,Come & Talk To Me,Jodeci,103,Come & Talk to Me,Jodeci,19,19,2004-04-06,2016-10-04
527,Come & Talk To Me,Jodeci,103,Come and Talk to Me,Jodeci,4,4,2003-03-25,2004-02-24
601,Dark Vertigo,Yasuhiro Nakano; Makoto Mukai,94,Dark Vertigo,Yasuhiro Nakano; Makoto Mukai,89,88,2015-12-08,2020-10-11
601,Dark Vertigo,Yasuhiro Nakano; Makoto Mukai,94,Dark Vertigo,"Yasuhiro Nakano, Makoto Mukai",4,4,2018-06-12,2018-08-07
601,Dark Vertigo,Yasuhiro Nakano; Makoto Mukai,94,Dark Vertigo,Yasuhiro Nakano/Makoto Mukai,1,1,2016-01-12,2016-01-12
754,Enter the Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,81,Enter the Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,79,79,2013-04-23,2014-12-02
754,Enter the Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,81,Enter The Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,1,1,2013-10-29,2013-10-29
754,Enter the Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,81,Enter the Blackness (This Week in Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,1,1,2013-06-25,2013-06-25
1730,Makin' Luv to My B...,Sons of Funk,73,Makin' Luv to My B...,Sons of Funk,69,69,2009-02-03,2010-06-15
1730,Makin' Luv to My B...,Sons of Funk,73,Makin' Luv to My B…,Sons of Funk,3,3,2012-07-24,2012-08-14
1730,Makin' Luv to My B...,Sons of Funk,73,Makin Luv' to My B…,Sons of Funk,1,1,2012-08-07,2012-08-07
671,Doggie Style (Above the Rim),D.J. Rogers Jr.,61,Doggie Style (Above the Rim),D.J. Rogers Jr.,57,57,2013-06-25,2019-09-24
671,Doggie Style (Above the Rim),D.J. Rogers Jr.,61,Doggie Style (Above The Rim),D.J. Rogers Jr.,3,3,2019-09-17,2019-10-08
671,Doggie Style (Above the Rim),D.J. Rogers Jr.,61,Doggie Style (Above the Rim),D. J. Rogers Jr.,1,1,2013-12-10,2013-12-10
70,About the Money,T.I. feat. Young Thug,38,About the Money,T.I. feat. Young Thug,35,35,2015-12-15,2018-01-16
70,About the Money,T.I. feat. Young Thug,38,About The Money,T.I. feat. Young Thug,2,2,2015-12-29,2016-02-02
70,About the Money,T.I. feat. Young Thug,38,About the Money,T.I. Featuring Young Thug,1,1,2016-05-10,2016-05-10
2665,Take It Slow,Pat$ajak & Hitla'; Lil' Ant da Kid,37,Take It Slow,Pat$ajak & Hitla'; Lil' Ant da Kid,33,33,2017-01-24,2022-03-08
2665,Take It Slow,Pat$ajak & Hitla'; Lil' Ant da Kid,37,Take It Slow,Pat$ajak & Hitla; Lil' Ant da Kid,3,3,2020-09-08,2022-02-22
2665,Take It Slow,Pat$ajak & Hitla'; Lil' Ant da Kid,37,Take It Slow,Pat$ajak & Hitla'/Lil' Ant da Kid,1,1,2021-12-07,2021-12-07
712,Down In the DM,Yo Gotti,36,Down In the DM,Yo Gotti,33,33,2016-05-10,2017-02-07
712,Down In the DM,Yo Gotti,36,Down in the DM,Yo Gotti,2,2,2016-06-07,2016-08-23
712,Down In the DM,Yo Gotti,36,Down In The DM,Yo Gotti,1,1,2017-01-24,2017-01-24
1608,Lifestyle,Rich Gang feat. Young Thug; Rich Homie Quan,35,Lifestyle,Rich Gang feat. Young Thug; Rich Homie Quan,33,33,2016-03-29,2023-09-05
1608,Lifestyle,Rich Gang feat. Young Thug; Rich Homie Quan,35,Lifestyle,"Rich Gang feat. Young Thug, Rich Homie Quan",1,1,2016-12-13,2016-12-13
1608,Lifestyle,Rich Gang feat. Young Thug; Rich Homie Quan,35,Lifestyle,Rich Gang feat. Young Thug;Rich Homie Quan,1,1,2017-03-07,2017-03-07
2274,Rollin' With Kid 'n Play,Kid 'n Play,32,Rollin' With Kid 'n Play,Kid 'n Play,30,30,2020-07-28,2023-10-31
2274,Rollin' With Kid 'n Play,Kid 'n Play,32,Rollin; With Kid 'n Play,Kid 'n Play,1,1,2021-03-30,2021-03-30
2274,Rollin' With Kid 'n Play,Kid 'n Play,32,Rollin; With Kid ;n Play,Kid 'n Play,1,1,2020-12-29,2020-12-29
2564,Stay For a While,Sons of Funk,32,Stay For a While,Sons of Funk,23,23,2016-02-09,2018-11-27
2564,Stay For a While,Sons of Funk,32,Stay For A While,Sons of Funk,8,8,2016-02-16,2018-02-27
2564,Stay For a While,Sons of Funk,32,Stay for A While,Sons of Funk,1,1,2016-02-02,2016-02-02
3114,Where the Wild Things Are,Jake&Papa,32,Where the Wild Things Are,Jake&Papa,29,29,2015-01-27,2015-08-18
3114,Where the Wild Things Are,Jake&Papa,32,Where The Wild Things Are,Jake&Papa,2,2,2017-11-28,2017-12-05
3114,Where the Wild Things Are,Jake&Papa,32,Where the Wild Things Are,Jake & Papa,1,1,2015-06-30,2015-06-30
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",21,21,2003-03-18,2019-01-29
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want To Do Anything (remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",5,5,2004-12-14,2005-01-11
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",27,I Don't Want To Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",1,1,2005-01-18,2005-01-18
3093,What's a Man to Do,Keith Sweat,27,What's a Man to Do,Keith Sweat,19,19,2008-07-01,2009-05-19
3093,What's a Man to Do,Keith Sweat,27,What's A Man to Do,Keith Sweat,6,6,2008-05-20,2008-06-24
