canonical_song_id,canonical_title,canonical_artist,canonical_group_key,entry_count,alias_count,first_chart_date,last_chart_date
632,Didn't Mean to Turn You On (Above The Rim),2nd II None,didnt mean to turn you on above the rim|||2nd ii none,48,4,2013-10-29,2019-09-10
1339,"I'm Bout It, Bout It",TRU; Master P; Mia X,im bout it bout it|||tru master p mia x,40,4,2024-07-30,2025-05-13
90,Ain't No Fun from Original Gangstas,Dino Conner feat. Teddy,aint no fun from original gangstas|||dino conner feat teddy,30,4,2011-10-25,2026-03-31
2235,Ride or Die From Queen & Slim: The Soundtrack,Megan Thee Stallion feat. Vickeelo,ride or die from queen and slim the soundtrack|||megan thee stallion feat vickeelo,20,4,2020-04-28,2020-09-15
2821,"Theme of Sagat & Ryu - from ""Street Fighter Alpha 2""",Setsuo Yamamoto; Syun Nishigaki; Tatsuro Suzuki,theme of sagat and ryu from street fighter alpha 2|||setsuo yamamoto syun nishigaki tatsuro suzuki,4,4,2021-04-06,2024-03-12
1213,I Don't Want to Do Anything,"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",i dont want to do anything|||mary j blige feat cedric k ci hailey,653,3,2003-03-18,2020-10-11
527,Come & Talk To Me,Jodeci,come and talk to me|||jodeci,103,3,2003-03-25,2020-10-11
601,Dark Vertigo,Yasuhiro Nakano; Makoto Mukai,dark vertigo|||yasuhiro nakano makoto mukai,94,3,2015-12-08,2020-10-11
754,Enter the Blackness (This Week In Blackness Theme),Jasiri X; Willie Evans Jr.; Elon James White; Aaron Rand Freeman,enter the blackness this week in blackness theme|||jasiri x willie evans jr elon james white aaron rand freeman,81,3,2013-04-23,2014-12-02
1730,Makin' Luv to My B...,Sons of Funk,makin luv to my b|||sons of funk,73,3,2009-02-03,2012-08-14
671,Doggie Style (Above the Rim),D.J. Rogers Jr.,doggie style above the rim|||d j rogers jr,61,3,2013-06-25,2019-10-08
70,About the Money,T.I. feat. Young Thug,about the money|||t i feat young thug,38,3,2015-12-15,2018-01-16
2665,Take It Slow,Pat$ajak & Hitla'; Lil' Ant da Kid,take it slow|||pat ajak and hitla lil ant da kid,37,3,2017-01-24,2022-03-08
712,Down In the DM,Yo Gotti,down in the dm|||yo gotti,36,3,2016-05-10,2017-02-07
1608,Lifestyle,Rich Gang feat. Young Thug; Rich Homie Quan,lifestyle|||rich gang feat young thug rich homie quan,35,3,2016-03-29,2023-09-05
2274,Rollin' With Kid 'n Play,Kid 'n Play,rollin with kid n play|||kid n play,32,3,2020-07-28,2023-10-31
2564,Stay For a While,Sons of Funk,stay for a while|||sons of funk,32,3,2016-02-02,2018-11-27
3114,Where the Wild Things Are,Jake&Papa,where the wild things are|||jake and papa,32,3,2015-01-27,2017-12-05
1211,I Don't Want to Do Anything (Remix),"Mary J. Blige feat. Cedric ""K-Ci"" Hailey",i dont want to do anything remix|||mary j blige feat cedric k ci hailey,27,3,2003-03-18,2019-01-29
3093,What's a Man to Do,Keith Sweat,whats a man to do|||keith sweat,27,3,2008-05-20,2019-11-12
1485,Just The 2 of Us,Keith Sweat feat. Takiya Mason,just the 2 of us|||keith sweat feat takiya mason,26,3,2016-08-09,2020-10-11
691,Don't Let the Music Industry Fool You!!,Lil' Flip,dont let the music industry fool you|||lil flip,25,3,2014-11-04,2020-11-03
2434,Six In Da Morning,Avant feat. Sean Don,six in da morning|||avant feat sean don,24,3,2007-09-25,2018-10-30
2446,Slip n' Slide,Danny Boy feat. Ginuwine,slip n slide|||danny boy feat ginuwine,20,3,2011-09-06,2018-07-10
1503,Keep You In Mind (Remix),Guordan Banks feat. Chris Brown; Bryson Tiller,keep you in mind remix|||guordan banks feat chris brown bryson tiller,19,3,2016-12-06,2020-04-07
2431,Sippin' on Some Syrup,Three 6 Mafia feat. UGK,sippin on some syrup|||three 6 mafia feat ugk,17,3,2003-10-14,2025-03-04
672,"Doggie Style - From ""Above the Rim""",D.J. Rogers,doggie style from above the rim|||d j rogers,15,3,2021-02-16,2025-12-09
1137,"Homie, Lover, Friend (Looking for My Homie Mix)",R. Kelly feat. LL Cool J,homie lover friend looking for my homie mix|||r kelly feat ll cool j,14,3,2005-07-12,2022-05-17
